id,number,name,lat,lon
254,70,"УЛ.ГОРНОВРАНОВСКА-КОН ГОРНО ЛИСИЧЕ",41.970932006836,21.482192993164
255,71,"ОУ ГОЦЕ ДЕЛЧЕВ-КОН ЦЕНТАР",41.969848632812,21.486400604248
256,72,"ОУ ГОЦЕ ДЕЛЧЕВ-КОН Т",41.969619750977,21.486267089844
257,73,"ГОРНО ЛИСИЧЕ-КОН ЦЕНТАР",41.967864990234,21.489105224609
258,74,"ГОРНО ЛИСИЧЕ-КОН Т",41.967819213867,21.48893737793
259,75,"ТРАФОСТАНИЦА УЛ ЛИСЕЦ-КОН ЦЕНТАР",41.96605682373,21.486568450928
260,76,"ТРАФОСТАНИЦА УЛ ЛИСЕЦ-КОН Т",41.966186523438,21.486465454102
261,77,"ХЕМТЕКС Т-ПОЧЕТНА",41.964477539062,21.484039306641
262,78,"ХЕМТЕКС Т-КРАЈНА",41.96452331543,21.483947753906
273,89,"ГОРНО ЛИСИЧЕ КАНАЛ-КОН ЦЕНТАР",41.970397949219,21.485061645508
274,90,"ГОРНО ЛИСИЧЕ КАНАЛ-КОН ВАРДАРСКА",41.97053527832,21.485168457031
275,91,"ВАРДАРСКА 1-КОН ЦЕНТАР",41.972702026367,21.485305786133
276,92,"ВАРДАРСКА 1-КОН Т",41.972640991211,21.485458374023
277,93,"ВАРДАРСКА 2-КОН ЦЕНТАР",41.974090576172,21.487823486328
278,94,"ВАРДАРСКА 2-КОН Т",41.974021911621,21.487878799438
279,95,"ВАРДАРСКА Т-ПОЧЕТНА",41.97643661499,21.492214202881
280,96,"ВАРДАРСКА Т-КРАЈНА",41.97639465332,21.492294311523
299,115,"ОСИГУРУВАЊЕ МАКЕДОНИЈА",41.989028930664,21.436157226562
300,116,"БИЛНА АПТЕКА",41.989398956299,21.435914993286
301,117,"ЧЕШМА КИСЕЛА ВОДА ЦВЕТАН ДИМОВ",41.985382080078,21.438095092773
302,118,"ЧЕШМА КИСЕЛА ВОДА МАКСИ Д",41.983291625977,21.439300537109
303,119,"ОПШТИНА КИСЕЛА ВОДА",41.980800628662,21.441848754883
304,120,"КИСЕЛА ВОДА ТИНЕКС-КОН ЦЕНТАР",41.979145050049,21.445636749268
305,121,"КИСЕЛА ВОДА ЗГРАДИ-КОН ДРАЧЕВО",41.979843139648,21.443435668945
306,122,"11 ОКТОМВРИ СУПЕР ТИНЕКС-КОН ЦЕНТАР",41.975738525391,21.452682495117
307,123,"11 ОКТОМВРИ СУПЕР ТИНЕКС-КОН ДРАЧЕВО",41.975158691406,21.453489303589
308,124,"11 ОКТОМВРИ Т",41.975967407227,21.454360961914
309,125,"ЦЕМЕНТАРА-КОН ЦЕНТАР",41.973175048828,21.458194732666
310,126,"ЦЕМЕНТАРА-КОН ДРАЧЕВО",41.97253036499,21.459266662598
311,127,"ИНДУСТРИСКИ КОЛОСЕК-КОН ЦЕНТАР",41.969772338867,21.465423583984
312,128,"ИНДУСТРИСКИ КОЛОСЕК-КОН ДРАЧЕВО",41.969005584717,21.46675491333
313,129,"СТАКЛАРА-КОН ЦЕНТАР",41.965255737305,21.474761962891
314,130,"СТАКЛАРА-КОН ДРАЧЕВО",41.964385986328,21.476455688477
315,131,"ОХИС-КОН ЦЕНТАР",41.958038330078,21.484954833984
316,132,"ОХИС-КОН ДРАЧЕВО",41.958801269531,21.483978271484
317,133,"ПИНТИЈА-КОН ЦЕНТАР",41.955642700195,21.487319946289
318,134,"ПИНТИЈА-КОН ДРАЧЕВО",41.954895019531,21.487838745117
319,135,"ПЕКАРА ВАТАША-КОН ЦЕНТАР",41.951499938965,21.491781234741
320,136,"ПЕКАРА ВАТАША-КОН ДРАЧЕВО",41.951530456543,21.491485595703
321,137,"ПИНТИЈА ТРАФОСТАНИЦА-КОН ЦЕНТАР",41.947799682617,21.494415283203
322,138,"ПИНТИЈА ТРАФОСТАНИЦА-КОН ДРАЧЕВО",41.948013305664,21.493988037109
323,139,"ТЕХНОКООП-КОН ЦЕНТАР",41.945770263672,21.496337890625
324,140,"ТЕХНОКООП-КОН ДРАЧЕВО",41.945251464844,21.496490478516
325,141,"МАРКОВА РЕКА МОСТ-КОН ЦЕНТАР",41.940246582031,21.499465942383
326,142,"МАРКОВА РЕКА МОСТ-КОН ДРАЧЕВО",41.940399169922,21.498779296875
327,143,"ДРАЧЕВО ТОПОЛИ-КОН ЦЕНТАР",41.938179016113,21.509119033813
328,144,"ДРАЧЕВО ТОПОЛИ-КОН Т",41.938301086426,21.508531570435
329,145,"ДРАЧЕВО ГРАДИНКА-КОН ЦЕНТАР",41.940788269043,21.511922836304
330,146,"ДРАЧЕВО ГРАДИНКА-КОН Т",41.940628051758,21.511018753052
331,147,"ДРАЧЕВО ПАЗАР-КОН ЦЕНТАР",41.939437866211,21.516036987305
332,148,"ДРАЧЕВО ПАЗАР-КОН Т",41.939605712891,21.515075683594
333,149,"ДРАЧЕВО 1-КОН ЦЕНТАР",41.937309265137,21.522075653076
334,150,"ДРАЧЕВО 1-КОН Т",41.937465667725,21.521638870239
335,151,"ДРАЧЕВО 2-КОН ЦЕНТАР",41.939949035645,21.523965835571
336,152,"ДРАЧЕВО 2-КОН Т",41.939929962158,21.524011611938
337,153,"ДРАЧЕВО ИГРАЛИШТЕ-КОН ЦЕНТАР",41.940101623535,21.527803421021
338,154,"ДРАЧЕВО ИГРАЛИШТЕ-КОН Т",41.940139770508,21.527910232544
339,155,"ДРАЧЕВО ЖЕЛЕЗНИЧКА СТАНИЦА Т",41.939147949219,21.532852172852
340,156,"С.ДРАЧЕВО СРЕД СЕЛО-КОН ЦЕНТАР",41.93278503418,21.521148681641
341,157,"С.ДРАЧЕВО СРЕД СЕЛО-КОН ЗЕЛЕНИКОВО",41.932556152344,21.521179199219
342,158,"С.ДРАЧЕВО Т-ПОЧЕТНА",41.931854248047,21.524105072021
343,159,"С.ДРАЧЕВО Т-КРАЈНА",41.931789398193,21.523986816406
344,160,"ПАТ ЗА УСЈЕ-КОН Т",41.969360351562,21.465637207031
345,161,"УСЈЕ ВУЛЕ-КОН ЦЕНТАР",41.967330932617,21.462738037109
346,162,"УСЈЕ ВУЛЕ-КОН Т",41.967578887939,21.46265411377
347,163,"УСЈЕ МОСТ-КОН ЦЕНТАР",41.965187072754,21.461868286133
348,164,"УСЈЕ МОСТ-КОН Т",41.965312957764,21.461814880371
349,165,"УСЈЕ 1-КОН ЦЕНТАР",41.964366912842,21.460210800171
350,166,"УСЈЕ 1-КОН Т",41.964324951172,21.460102081299
351,167,"УСЈЕ 2-КОН ЦЕНТАР",41.962280273438,21.459396362305
352,168,"УСЈЕ 2-КОН Т",41.962257385254,21.459241867065
353,169,"УСЈЕ Т",41.958679199219,21.45837020874
355,171,"ОУ КИРИЛ ПЕЈЧИНОВИЌ-КОН КИСЕЛА ВОДА",41.977867126465,21.445030212402
356,172,"ОУ КУЗМАН ЈОСИФОСКИ ПИТУ-КОН ЦЕНТАР",41.986770629883,21.433151245117
357,173,"ОУ КУЗМАН ЈОСИФОСКИ ПИТУ-КОН КИСЕЛА ВОДА",41.986263275146,21.433177947998
358,174,"ШАМПИОНЧЕ-КОН ЦЕНТАР",41.981033325195,21.435775756836
359,175,"ШАМПИОНЧЕ-КОН КИСЕЛА ВОДА",41.981956481934,21.435073852539
360,176,"КИСЕЛА ВОДА ЖИТО МАРКЕТ",41.976165771484,21.43830871582
361,177,"КИСЕЛА ВОДА ПРЖИНО",41.977172851562,21.437591552734
362,178,"ДОМ НА СЛЕПИ-КОН ЦЕНТАР",41.975692749023,21.443832397461
363,179,"ДОМ НА СЛЕПИ-КОН СОПИШТЕ",41.976547241211,21.443008422852
364,180,"Ф-КА МИРКА ГИНОВА",41.971405029297,21.445320129395
365,181,"ОУ КРУМЕ КЕПЕСКИ",41.971897125244,21.444955825806
366,182,"КИСЕЛА ВОДА Т-ПОЧЕТНА",41.969375610352,21.448425292969
367,183,"КИСЕЛА ВОДА Т-КРАЈНА",41.969192504883,21.448440551758
368,184,"ПОДРАЧНО ОУ КРУМЕ КЕПЕСКИ-КОН КИСЕЛА ВG",41.965278625488,21.448537826538
369,185,"ПОДРАЧНО ОУ КРУМЕ КЕПЕСКИ-КОН СОПИШТЕ",41.965183258057,21.448432922363
370,186,"ПРИПОР КРСТОСНИЦА-КОН КИСЕЛА ВОДА",41.962387084961,21.449935913086
371,187,"ПРИПОР КРСТОСНИЦА-КОН СОПИШТЕ",41.962646484375,21.449798583984
372,188,"ПРИПОР ЗГРАДИ-КОН КИСЕЛА ВОДА",41.959495544434,21.44792175293
373,189,"ПРИПОР ЗГРАДИ-КОН СОПИШТЕ",41.95902633667,21.447214126587
374,190,"ПРИПОР Т-ПОЧЕТНА",41.958648681641,21.443328857422
375,191,"ПРИПОР Т-КРАЈНА",41.958915710449,21.443832397461
376,192,"СОПИШТЕ ДАВИДОФ-КОН КИСЕЛА ВОДА",41.957534790039,21.438283920288
377,193,"СОПИШТЕ ДАВИДОФ-КОН ДОБРИ ДОЛ",41.957950592041,21.437255859375
378,194,"СОПИШТЕ ДЕТСКО ИГРАЛИШТЕ-КОН КИСЕЛА ВОG",41.956043243408,21.432844161987
